age,gender,isMarried,race,religion,priceRange,district,imagePath
25-30,female,true,Tamil,Hindu,0-2000,Kandy,29
20-25,female,true,Sinhala,Buddhism,0-2000,Colombo,21
25-30,female,true,Muslim,Islam,2000-4000,Colombo,72
25-30,female,true,Tamil,Hindu,0-2000,Colombo,28
30-35,female,true,Sinhala,Buddhism,2000-4000,Kandy,63
30-35,male,true,Muslim,Islam,0-2000,Kandy,49
30-35,male,true,Sinhala,Buddhism,2000-4000,Colombo,53
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,10
30-35,female,true,Muslim,Islam,2000-4000,Colombo,68
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,53
30-35,female,false,Tamil,Catholic,0-2000,Kandy,34
20-25,female,true,Muslim,Islam,2000-4000,Kandy,66
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,8
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,7
30-35,female,false,Tamil,Hindu,2000-4000,Colombo,59
25-30,female,false,Tamil,Catholic,0-2000,Kalutara,24
25-30,male,false,Tamil,Hindu,0-2000,Kurunegala,6
20-25,female,true,Sinhala,Buddhism,0-2000,Kurunegala,29
30-35,female,true,Sinhala,Buddhism,2000-4000,Colombo,54
30-35,female,true,Muslim,Islam,2000-4000,Gampaha,64
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,14
25-30,female,true,Tamil,Hindu,0-2000,Kandy,25
25-30,female,false,Sinhala,Buddhism,2000-4000,Colombo,61
25-30,male,true,Sinhala,Buddhism,0-2000,Colombo,49
30-35,male,true,Muslim,Islam,2000-4000,Kandy,53
30-35,female,true,Sinhala,Buddhism,2000-4000,Gampaha,61
25-30,female,false,Sinhala,Buddhism,2000-4000,Kurunegala,63
25-30,male,true,Tamil,Hindu,2000-4000,Colombo,41
20-25,male,false,Tamil,Catholic,0-2000,Colombo,9
30-35,female,true,Muslim,Islam,2000-4000,Kurunegala,71
25-30,female,true,Sinhala,Catholic,0-2000,Kurunegala,32
20-25,male,false,Tamil,Catholic,0-2000,Gampaha,6
20-25,female,true,Sinhala,Catholic,0-2000,Gampaha,21
25-30,female,false,Tamil,Hindu,2000-4000,Kandy,60
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,10
20-25,male,false,Tamil,Hindu,0-2000,Gampaha,16
25-30,female,true,Tamil,Hindu,0-2000,Gampaha,28
25-30,female,true,Sinhala,Buddhism,0-2000,Kalutara,37
25-30,female,false,Sinhala,Buddhism,2000-4000,Colombo,61
20-25,female,true,Muslim,Islam,2000-4000,Kalutara,65
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,49
25-30,female,false,Sinhala,Catholic,0-2000,Kalutara,33
25-30,male,true,Tamil,Catholic,0-2000,Kurunegala,6
30-35,male,false,Sinhala,Buddhism,0-2000,Kandy,47
25-30,female,true,Sinhala,Buddhism,0-2000,Kandy,31
25-30,female,false,Tamil,Hindu,2000-4000,Kalutara,63
20-25,male,false,Tamil,Hindu,0-2000,Kandy,4
20-25,female,true,Muslim,Islam,2000-4000,Colombo,65
20-25,female,true,Sinhala,Buddhism,0-2000,Colombo,24
25-30,male,false,Tamil,Hindu,0-2000,Kurunegala,9
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,23
20-25,female,true,Sinhala,Buddhism,0-2000,Gampaha,22
30-35,female,true,Tamil,Hindu,0-2000,Kalutara,33
25-30,male,true,Sinhala,Buddhism,0-2000,Kurunegala,47
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,12
20-25,male,false,Sinhala,Catholic,0-2000,Colombo,8
25-30,male,true,Sinhala,Buddhism,0-2000,Kandy,50
30-35,female,true,Tamil,Hindu,2000-4000,Gampaha,62
25-30,female,true,Sinhala,Buddhism,0-2000,Colombo,36
20-25,female,false,Sinhala,Buddhism,0-2000,Kurunegala,28
30-35,male,false,Sinhala,Buddhism,0-2000,Kalutara,48
30-35,male,true,Sinhala,Buddhism,2000-4000,Kalutara,52
30-35,female,true,Tamil,Hindu,2000-4000,Colombo,61
30-35,male,false,Sinhala,Buddhism,2000-4000,Kandy,51
30-35,female,false,Sinhala,Buddhism,2000-4000,Kalutara,62
30-35,male,true,Sinhala,Buddhism,0-2000,Kandy,49
20-25,male,true,Sinhala,Buddhism,0-2000,Kalutara,4
20-25,female,true,Sinhala,Catholic,0-2000,Gampaha,29
30-35,female,true,Tamil,Hindu,0-2000,Kandy,36
25-30,female,true,Tamil,Hindu,2000-4000,Kurunegala,57
25-30,male,true,Sinhala,Buddhism,2000-4000,Colombo,52
25-30,female,true,Tamil,Catholic,0-2000,Kalutara,30
25-30,female,true,Tamil,Hindu,0-2000,Colombo,24
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,3
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,6
20-25,male,false,Sinhala,Catholic,0-2000,Kalutara,17
25-30,male,true,Tamil,Hindu,2000-4000,Colombo,43
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,14
20-25,male,false,Sinhala,Buddhism,0-2000,Kandy,18
30-35,male,true,Sinhala,Buddhism,2000-4000,Colombo,41
25-30,female,true,Tamil,Hindu,0-2000,Kalutara,21
25-30,female,true,Tamil,Hindu,0-2000,Kalutara,23
25-30,male,false,Tamil,Catholic,0-2000,Gampaha,8
30-35,male,true,Sinhala,Buddhism,2000-4000,Kalutara,52
20-25,male,false,Tamil,Hindu,0-2000,Colombo,8
20-25,male,false,Tamil,Hindu,0-2000,Kandy,5
25-30,female,true,Muslim,Islam,2000-4000,Gampaha,72
20-25,male,false,Sinhala,Buddhism,0-2000,Kurunegala,5
30-35,female,true,Muslim,Islam,2000-4000,Gampaha,69
25-30,female,true,Tamil,Hindu,0-2000,Kandy,29
25-30,male,false,Tamil,Hindu,0-2000,Colombo,7
25-30,female,true,Sinhala,Catholic,0-2000,Kurunegala,31
30-35,male,true,Sinhala,Buddhism,2000-4000,Kalutara,44
25-30,female,true,Sinhala,Catholic,0-2000,Kalutara,38
25-30,female,true,Sinhala,Catholic,0-2000,Kalutara,38
25-30,male,true,Sinhala,Buddhism,0-2000,Kandy,48
30-35,male,true,Sinhala,Buddhism,0-2000,Colombo,46
25-30,male,true,Sinhala,Buddhism,2000-4000,Colombo,52
25-30,female,true,Tamil,Hindu,0-2000,Gampaha,21
25-30,male,true,Tamil,Hindu,2000-4000,Gampaha,44
30-35,female,true,Tamil,Hindu,2000-4000,Gampaha,56
20-25,female,true,Sinhala,Catholic,0-2000,Colombo,24
20-25,female,true,Sinhala,Buddhism,0-2000,Kalutara,22
20-25,female,true,Muslim,Islam,2000-4000,Kalutara,67
30-35,female,true,Tamil,Hindu,2000-4000,Kurunegala,59
30-35,male,true,Sinhala,Buddhism,2000-4000,Kalutara,42
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,7
20-25,male,true,Sinhala,Buddhism,0-2000,Colombo,11
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,24
20-25,male,false,Tamil,Catholic,0-2000,Kalutara,17
25-30,female,true,Sinhala,Catholic,0-2000,Kurunegala,36
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,9
20-25,female,false,Muslim,Islam,2000-4000,Kandy,68
30-35,male,true,Sinhala,Buddhism,2000-4000,Colombo,43
20-25,male,false,Tamil,Hindu,0-2000,Colombo,16
30-35,male,true,Sinhala,Buddhism,2000-4000,Colombo,51
30-35,female,true,Tamil,Hindu,0-2000,Colombo,38
20-25,female,false,Muslim,Islam,2000-4000,Colombo,68
20-25,male,true,Tamil,Hindu,0-2000,Kurunegala,16
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,20
20-25,female,true,Sinhala,Catholic,0-2000,Gampaha,26
25-30,female,true,Tamil,Hindu,0-2000,Kurunegala,30
30-35,male,true,Muslim,Islam,2000-4000,Gampaha,53
20-25,male,false,Tamil,Catholic,0-2000,Kurunegala,2
25-30,female,false,Tamil,Hindu,2000-4000,Colombo,55
20-25,male,false,Sinhala,Buddhism,0-2000,Kalutara,17
25-30,female,false,Sinhala,Buddhism,0-2000,Gampaha,34
30-35,female,true,Tamil,Hindu,0-2000,Colombo,37
25-30,male,false,Tamil,Hindu,0-2000,Kurunegala,6
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,42
25-30,female,true,Tamil,Hindu,0-2000,Gampaha,26
20-25,female,true,Muslim,Islam,2000-4000,Colombo,64
30-35,female,false,Muslim,Islam,2000-4000,Colombo,67
30-35,male,true,Sinhala,Buddhism,0-2000,Kandy,50
25-30,female,true,Muslim,Islam,2000-4000,Kurunegala,72
30-35,female,false,Sinhala,Buddhism,2000-4000,Kalutara,55
30-35,female,true,Tamil,Hindu,2000-4000,Gampaha,60
25-30,male,false,Tamil,Catholic,0-2000,Kandy,5
20-25,male,false,Tamil,Hindu,0-2000,Kurunegala,19
25-30,female,true,Sinhala,Buddhism,0-2000,Kalutara,39
30-35,male,true,Muslim,Islam,2000-4000,Gampaha,53
20-25,male,false,Tamil,Hindu,0-2000,Kalutara,1
25-30,female,false,Muslim,Islam,2000-4000,Colombo,70
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,8
30-35,male,true,Sinhala,Buddhism,2000-4000,Gampaha,51
20-25,male,false,Tamil,Catholic,0-2000,Colombo,1
20-25,female,true,Sinhala,Buddhism,0-2000,Kandy,26
25-30,female,false,Tamil,Hindu,2000-4000,Kandy,60
20-25,male,false,Sinhala,Catholic,0-2000,Gampaha,16
20-25,female,false,Sinhala,Buddhism,0-2000,Kandy,26
30-35,male,true,Sinhala,Buddhism,0-2000,Kurunegala,49
25-30,female,true,Sinhala,Catholic,0-2000,Kandy,33
20-25,male,false,Sinhala,Catholic,0-2000,Kurunegala,5
20-25,male,false,Sinhala,Buddhism,0-2000,Gampaha,18
30-35,female,false,Sinhala,Buddhism,2000-4000,Colombo,60
25-30,female,true,Tamil,Hindu,0-2000,Gampaha,23
25-30,female,false,Sinhala,Buddhism,0-2000,Kalutara,36
30-35,female,true,Sinhala,Buddhism,2000-4000,Kalutara,60
30-35,female,true,Sinhala,Buddhism,2000-4000,Colombo,54
20-25,male,false,Sinhala,Buddhism,0-2000,Colombo,4
20-25,male,true,Tamil,Hindu,0-2000,Kurunegala,20
30-35,female,true,Sinhala,Buddhism,2000-4000,Kalutara,56
30-35,female,true,Muslim,Islam,2000-4000,Kalutara,71
